Gridsearch ran for 4h20min

best accuracies:
Length 26 ; Optimizer adamax ; Epochs 15 ; Dropout 0.2 ; Accuracy 98.14814865589142
#Length 14 ; Optimizer adamax ; Epochs 20 ; Dropout 0.1 ; Accuracy 98.14814925193787
Length 14 ; Optimizer adamax ; Epochs 20 ; Dropout 0.2 ; Accuracy 98.33333432674408
Length 26 ; Optimizer adamax ; Epochs 20 ; Dropout 0.2 ; Accuracy 98.51851880550385
Length 14 ; Optimizer adagrad ; Epochs 20 ; Dropout 0.1 ; Accuracy 98.33333373069763

full results:

Length 14 ; Optimizer adamax ; Epochs 10 ; Dropout 0.1 ; Accuracy 95.74074029922485
Length 14 ; Optimizer adamax ; Epochs 10 ; Dropout 0.2 ; Accuracy 96.48148238658905
Length 14 ; Optimizer adamax ; Epochs 10 ; Dropout 0.3 ; Accuracy 95.18518507480621
Length 20 ; Optimizer adamax ; Epochs 10 ; Dropout 0.1 ; Accuracy 95.37037074565887
Length 20 ; Optimizer adamax ; Epochs 10 ; Dropout 0.2 ; Accuracy 94.81481432914734
Length 20 ; Optimizer adamax ; Epochs 10 ; Dropout 0.3 ; Accuracy 95.18518626689911
Length 26 ; Optimizer adamax ; Epochs 10 ; Dropout 0.1 ; Accuracy 97.59259402751923
Length 26 ; Optimizer adamax ; Epochs 10 ; Dropout 0.2 ; Accuracy 97.40740716457367
Length 26 ; Optimizer adamax ; Epochs 10 ; Dropout 0.3 ; Accuracy 95.18518567085266
Length 14 ; Optimizer sgd ; Epochs 10 ; Dropout 0.1 ; Accuracy 89.62962985038757
Length 14 ; Optimizer sgd ; Epochs 10 ; Dropout 0.2 ; Accuracy 88.88888895511627
Length 14 ; Optimizer sgd ; Epochs 10 ; Dropout 0.3 ; Accuracy 89.07407462596893
Length 20 ; Optimizer sgd ; Epochs 10 ; Dropout 0.1 ; Accuracy 92.03703701496124
Length 20 ; Optimizer sgd ; Epochs 10 ; Dropout 0.2 ; Accuracy 87.40740716457367
Length 20 ; Optimizer sgd ; Epochs 10 ; Dropout 0.3 ; Accuracy 91.11111104488373
Length 26 ; Optimizer sgd ; Epochs 10 ; Dropout 0.1 ; Accuracy 92.40740895271301
